2
0	1	29.0923		
0	2	29.1106         
0	4	29.1185         
0	6	29.084          
0	8	29.1238         
0	10	29.1049         
0	12	29.1163         
0	14	29.1678         
0	16	29.1399         
0	18	29.1807         
0	20	29.1407         
0	22	29.1797         
0	24	29.1569         
1	1  	 5.33878
1	2 	2.77397
1	4  	1.7432
1	6  	1.56936
1	8  	1.54535
1	10 	1.55387
1	12 	1.46059
1	14 	1.50924
1	16 	1.54186
1	18 	1.52716
1	20 	1.52236
1	22 	1.55417
1	24 	1.52794

# ic3
#-------------------------------------------
#gpu_workers	| cpu_workers
#-------------------------------------------
# F(r) || p --- 1024 image size
